kategori,judul,deskripsi,penulis,tanggal
CLIMATE ACTION,5 ways development finance institutions can accelerate clean air financing,Development finance institutions are critical to funding clean air projects. Increased collaboration and innovative financing can unlock major benefits.,Maria Glynda Bathan-Baterina and Amit Mehra,"July 10, 2024"
CLIMATE ACTION,Five policy actions to help countries double energy efficiency and meet climate goals,These five key policy recommendations can help businesses and policy-makers meet global climate goals and maintain competitiveness.,Ramya Krishnaswamy and Rob Turner,"July 10, 2024"
EMERGING TECHNOLOGIES,From decision-making to efficiency gains: Leaders at 'Summer Davos' discuss ways to harness AI,Maximizing the potential and avoiding the pitfalls of AI was high on the agenda at the World Economic Forum's Annual Meeting of the New Champions (AMNC24) in China.,"Cathy Li, Maria Basso and Benjamin Larsen","July 10, 2024"
LEADERSHIP,Intergenerational decision-making can help build a regenerative economy. Here's why,Joining forces across generations can serve as a forceful lever to reimagine corporate strategies and public policies for a regenerative future.,"Andre Hoffmann, Nolita Thina  Mvunelo and Felix Rüdiger","July 10, 2024"
CLIMATE ACTION,3 surprising ways technologies are being deployed to tackle the climate crisis,From Earth observation to AI and the world’s largest plane – learn more about 3 technologies being harnessed for sustainability wins.,Rebecca Geldard,"July 10, 2024"
TRADE AND INVESTMENT,Niches and new chances: how some places ‘slot in’ as globalization shifts,"From the West’s perspective the re-ordering of globalization can feel like a glimpse of its own mortality, an expert said, but for other places it brings opportunity.",John Letzing,"July 10, 2024"
SOCIAL INNOVATION,Empowering the future: how Global Shapers are advancing the youth agenda,The Global Shapers Annual Summit 2024 has the theme 'Dare to Innovate' and will see young people discuss tackling some of the world's greatest challenges.,Natalie Pierce,"July 10, 2024"
CLIMATE ACTION,How early warning systems and parametric insurance can build climate resilience in Africa,Early warning systems and parametric insurance are key tools for disaster risk management in Africa which is vulnerable to the effects of climate change.,Ange Chitate,"July 10, 2024"
ENERGY TRANSITION,"Wind energy projects waiting years for electricity grid connection, and other nature and climate stories you need to read this week",Other top news this week: An early warning system for dangerous heatwaves could save lives; Apartment residents in this European country can now install solar panels on their balconies.,Michael Purton,"July 10, 2024"
FINANCIAL AND MONETARY SYSTEMS,ESG investors have a responsibility to respect human rights – here’s how to prevent ‘rightswashing’,"Sustainable investment is booming, but more work is needed to ensure respect for human rights is more fully incorporated into investment decision-making.",Robert McCorquodale,"July 9, 2024"
JOBS AND THE FUTURE OF WORK,Why being good to your workers is good for your stock price,A new study of US retail companies shows improved stock prices for those that invested in their workers – and there are other benefits too,Don Howard and George Zuo,"July 9, 2024"
CLIMATE ACTION,9 market trends shaping the future of Earth observation for climate action,"Earth observation technology can supply data to aid climate mitigation and adaptation, potentially bolstering the world economy by $3.8 trillion.",Joey Couture and Valentin Golovtchenko,"July 9, 2024"
SUPPLY CHAINS AND TRANSPORTATION,The future of critical raw materials: How Ukraine plays a strategic role in global supply chains,Ukraine's vast reserves of critical raw materials are critical for various industries and can bolster global supply chains with the right EU/US strategies.,Nataliya Katser-Buchkovska,"July 9, 2024"
FINANCIAL AND MONETARY SYSTEMS,Why modernising financial services should be a priority for the UK's new Labour government,The new Labour government needs to prioritise the modernisation and digitisation of UK financial services to stimulate significant investment and liquidity.,Chris Elms,"July 9, 2024"
ECONOMIC GROWTH,What's the ‘Basel Endgame’ – and can it help us avoid another financial crisis?,Rules around bank capital – the “Basel Endgame” – are due to come into force in the US in 2025. But can they help the world avoid more bank failures?,Emma Charlton,"July 9, 2024"
CLIMATE ACTION,What is Earth observation data – and how can it help protect our environment?,"Earth observation could generate $3.8 trillion, mainly from business and industry. But EO is also vital to monitoring the health of our natural ecosystems.",Andrea Willige,"July 9, 2024"
ECONOMIC GROWTH,"Election boosts UK stock market, and other economics stories to read this week",Top economy stories: UK election boosts stock markets; US job growth slows; Japanese stocks buoyed by tech demand.,Kate Whiting,"July 9, 2024"
EMERGING TECHNOLOGIES,The path forward for sustainable space exploration,The space sector is being majorly transformed and we must ensure activities are conducted in a way that safeguards the interests of future generations.,Pascale Ehrenfreund and Carissa Christensen,"July 8, 2024"
CLIMATE ACTION,Positive tipping points: A credible way to meet climate and nature goals,A new strategy could help us turn around the climate crisis: focusing on hitting the positive climate tipping points that will cascade climate progress.,Tim Lenton,"July 8, 2024"
CLIMATE ACTION,This is how the Airports of Tomorrow are tackling carbon emissions,"Airports of Tomorrow are cutting emissions through electrification, sustainable aviation fuels and exploring hydrogen fuel for sustainable aviation.",Alejandro De Quero Cordero,"July 8, 2024"
FINANCIAL AND MONETARY SYSTEMS,A lesson from emerging markets: Why central bank independence is so important,How central bank independence helps monetary policy makers remain impartial when trying to manage inflation and keep prices stable over the longer term.,Alejo Czerwonko,"July 8, 2024"
EMERGING TECHNOLOGIES,‘AI will likely make drugs cheaper and more accessible for everybody on the planet’ – 3 technologists on AI and scientific discovery,"AI for scientific discovery is one of the top 10 emerging technologies of 2024. Here, 3 technologists talk about what they think it could achieve.",David Elliott,"July 5, 2024"
FINANCIAL AND MONETARY SYSTEMS,Navigating climate risks: 3 strategies for building resilient financial institutions,Financial institutions can mitigate climate risks and seize opportunities with effective management strategies in a changing regulatory landscape.,Namita Vikas,"July 5, 2024"
GEO-ECONOMICS AND POLITICS,Industrial policies are having a moment. Here are 4 examples to explain how they work,"In a period defined by economic shocks and geopolitical tensions, countries are taking targeted measures to protect their economies.",Spencer Feingold and Simon Torkington,"July 5, 2024"
ENERGY TRANSITION,Why green steel should play a vital role in Ukraine's post-war recovery,Reconstructing Ukraine will require vast amounts of steel. Investing in its green steel transition could create nearly double the economic growth than coal-based production,Vlad Mykhnenko and Alli Devlin,"July 5, 2024"
EMERGING TECHNOLOGIES,What is quantum navigation – and could it replace GPS?,Quantum navigation may be ‘unjammable’ but we're not giving up our reliance on satellite data any time soon. Here’s what you need to know.,Madeleine North,"July 5, 2024"
EMERGING TECHNOLOGIES,How nations can build sovereign AI and homegrown talent for economic competitiveness,"Sovereign AI is the ability for a country to build AI with homegrown talent at different levels, based on its domestic policy or national AI strategy.",Joseph Wehbe,"July 4, 2024"
EMERGING TECHNOLOGIES,Redefining corporate valuation: How integrating AI and data can drive growth and sustainability,"Traditional metrics fall short in today's business. Integrating data and AI into valuations drives growth, ESG and sustainability, informing corporate value.",Jeff Schumacher,"July 4, 2024"
GLOBAL RISKS,How misperceptions of risk could undermine global risk resilience,The Global Risk Report analyses the perception of global risks. But these must align with the data if we are to ensure a robust approach to risk management.,John Scott and Debora Iannuzzi Zubler,"July 4, 2024"
CLIMATE ACTION,"EU passes law to restore 20% of land and sea by 2030, and other nature and climate stories you need to read this week",Other top news: 52% more days over 35°C in 20 capital cities; Call for greater climate financing.,Michael Purton,"July 4, 2024"
N/A,"Doctors on dengue alert, and other top health stories to read",Experts monitoring dengue rise; UNICEF warns on malnutrition and healthcare access in Central African Republic; Scientists concerned about bird flu surveillance gaps.,Shyam Bishen,"July 4, 2024"
CLIMATE ACTION,These are the world’s 10 most efficient ports – but which ones are the greenest?,Asian countries dominate the top 20 list of best-performing green ports for 2023. But the shipping industry faces challenges as it works to decarbonize.,Madeleine North,"July 4, 2024"
JOBS AND THE FUTURE OF WORK,Wave goodbye to command culture. Here’s how today’s leaders can influence and make change,"The traditional top-down corporate leadership model is becoming a relic. With millennials and Gen Z taking over the workforce, a new servant leadership approach is needed to empower and develop people.",James Fell and Linda Lacina,"July 3, 2024"
MANUFACTURING AND VALUE CHAINS,How to harness technology and talent in manufacturing: Lessons from the Global Lighthouse Network,How workforce enablement has emerged as a core element to achieving an improved value proposition for the enterprises and the people they employ.,Fernando Perez and Federico Torti,"July 3, 2024"
FINANCIAL AND MONETARY SYSTEMS,What stablecoins can learn from history's currency pegs,"Volatility in the stablecoin market has raised concerns about stability, but policy-makers can look to history to learn how to build a stable ecosystem.",Marion Laboure,"July 3, 2024"
CLIMATE ACTION,"How governments can help finance, build and scale the carbon dioxide removal industry","To address climate risks, companies and governments must invest in carbon dioxide removal solutions today for cost-effective deployment at scale tomorrow.",Nasim Pour,"July 3, 2024"
EMERGING TECHNOLOGIES,Explainer: What is quantum technology and what are its benefits?,"Quantum technology will be worth trillions of dollars and transform the economy over the next decade. What is it, and how can we build a quantum economy?",Andrea Willige,"July 3, 2024"
ENERGY TRANSITION,How South-East Asian countries can cooperate to enhance energy interconnectivity,"With its uneven energy distribution, South-East Asia must work on its energy interconnectivity – and that means new infrastructure","Ratnesh Bedi, Asheesh Sastry and Toong-Yuen Chong","July 3, 2024"
CLIMATE ACTION,How blended finance initiatives can align capital behind climate action,"Investing in climate and nature has become more urgent than ever, demanding innovative strategies such as blended finance.",Luis Alvarado,"July 3, 2024"
SUSTAINABLE DEVELOPMENT,How to harness a community-based approach to conservation,Mithila Wildlife Trust is working to empower local people and restore nature in the Terai region of Nepal by implementing a community-based approach to conservation.,Dev Narayan Mandal,"July 2, 2024"
EMERGING TECHNOLOGIES,AI and the expanding 'digital economy' will help bridge global divides. Here's why,See why we must build capacity and international standards so that emerging economies get the most out of AI and can fully participate in global trade.,Sung Hwan Cho,"July 2, 2024"
CLIMATE ACTION,"Rewilding Europe with bison is good for the planet, says new study","Rewilding a herd of bison in Romania's mountains could reduce as much carbon dioxide as emitted by 43,000 gas-powered cars.",Cristen Hemingway Jaynes,"July 2, 2024"
CLIMATE ACTION,Climate change: Ocean Tribunal ruling gives power to small island nations,A landmark ruling by the Ocean Tribunal empowers small island nations and sets a precedent for global environmental justice and sustainability.,Cristen Hemingway Jaynes,"July 2, 2024"
CLIMATE ACTION,NASA launches first satellite to study heat emissions at Earth's poles,"As part of NASA's Prefire mission, two satellites will measure infrared heat emanating from the Earth's poles, providing valuable insights into climate change.",Cristen Hemingway Jaynes,"July 2, 2024"
EMERGING TECHNOLOGIES,'Education is a place where we build democracy'. Why a teacher's union isn't afraid AI will replace teachers,"To ensure widespread benefits in education, teachers must be at the centre of conversations around AI, says Education International’s David Edwards.",David Elliott,"July 2, 2024"
CLIMATE ACTION,Climate crisis: How positive tipping points could save the planet,"From cheap green energy to rising sales of electric vehicles, a series of 'positive' tipping points might just save us from climate change. Professor Tim Lenton of Exeter University explains.",Michael Purton,"July 2, 2024"
EMERGING TECHNOLOGIES,This project is cleaning up abandoned fish farms in the seas around Greece,‘Ghost farms’ can have harmful impacts on biodiversity and local communities. Here’s how a project in Greece is working to clean up its abandoned fish farms.,David Elliott,"July 1, 2024"
EMERGING TECHNOLOGIES,"Tech companies must 'acknowledge the damage', says UN, and other digital technology stories you need to know",UN Secretary-General tells tech firms to acknowledge damage; Nvidia becomes world’s most valuable company; McDonald’s halts AI technology in drive thrus,Cathy Li,"July 1, 2024"
ECONOMIC GROWTH,"China on track for growth target, and other economics stories to read this week","Top economy stories: China confident of 5% growth in 2024; Manufacturing activity uneven globally; Argentina enters technical recession, and more.",Kate Whiting,"July 1, 2024"
ENERGY TRANSITION,The countries making progress in the energy transition – plus other top energy stories,Energy on the agenda at AMNC 'Summer Davos'; The countries making progress on energy transition; Global fossil fuel consumption hit record high in 2023.,Roberto Bocca,"June 28, 2024"
URBAN TRANSFORMATION,"Cities make progress on air quality, and other urban transformation stories you need to read","Top city and urbanization stories: Robotaxies coming to Austin, Texas, and Miami, Florida; Cities' spending power falling; Heatwaves hit cities across the globe.",Lisa Chamberlain,"June 28, 2024"
EMERGING TECHNOLOGIES,Why innovative climate technology requires global collaboration to take off,"Tackling the climate crisis necessitates a reshaping of the energy framework, which must consider global dependence on energy resources and infrastructure.",Ayla Majid,"June 28, 2024"
ENERGY TRANSITION,How to unlock a $500 billion investment opportunity in advanced energy solutions and reach net zero,"The business case for advanced energy solutions must show how the benefits outweigh higher costs versus legacy solutions, and how to meet those costs.",Maciej Kolaczkowski and Jeremy Williams,"June 28, 2024"
FORUM INSTITUTIONAL,AMNC24: Five things to know about the 'Summer Davos' in China,"What just happened at the Annual Meeting of the New Champions? Here are five key takeaways from the Summer Davos, whose theme was ‘Next Frontiers for Growth’.",Gayle Markovitz,"June 28, 2024"
HEALTH AND HEALTHCARE SYSTEMS,How health economics is redefining climate-resilient healthcare,Healthcare is a huge emitter of global greenhouse gases. Systemic change is needed to advance sustainable practices - that's where health economics can help.,Charlotte Ashton,"June 28, 2024"
ECONOMIC GROWTH,Why China is making innovation the new engine of growth,The World Economic Forum's Annual Meeting of the New Champions highlights China's innovation leadership and fosters global cooperation for a better world.,Liming Chen,"June 28, 2024"
ECONOMIC GROWTH,How China’s shifting industries are reshaping its long-term growth model,"As China transitions from its traditional growth drivers, it is focusing on advanced technology and manufacturing to sustain economic momentum.",Francisco Betti,"June 28, 2024"
"RESILIENCE, PEACE AND SECURITY",Why we must listen to the unsung 'sheroes' of war,"Humanitarian actors, funders, and policymakers must trust that women in war zones can be leaders and include them in decision-making and resolution efforts.",Michelle Nunn,"June 28, 2024"
ENERGY TRANSITION,Why an energy company is building the world's biggest plane,"Energy company Radia is building the world’s biggest plane to transport huge wind turbine blades to bring offshore turbines on shore, driving the creation of renewable energy.",Michael Purton,"June 27, 2024"
ENERGY TRANSITION,The next step for China’s clean energy transition: industrial and commercial storage deployment,"China’s industrial and commercial energy storage is poised for robust growth after showing great market potential in 2023, yet critical challenges remain.",Kristen Panerali and Zhang Xun,"June 27, 2024"
MANUFACTURING AND VALUE CHAINS,How manufacturing with AI can drive a sustainable future,Manufacturing with AI can identify operational changes that result in quantifiable improvements to sustainability and a business's top and bottom lines.,Manoj Mehta,"June 27, 2024"
MANUFACTURING AND VALUE CHAINS,AI and beyond: How frontier technologies are reshaping industrial operations,"With new technologies reshaping workplaces, here's how knowledge agents will empower workers and automation agents automate tasks in industrial operations.",Kiva Allgood and Daniel Kuepper,"June 27, 2024"
"EQUITY, DIVERSITY AND INCLUSION",Gender Gap: This is the state of work for women in 2024,The Global Gender Gap Report 2024 highlights the progress and challenges facing women in the workforce. Find out how far we've come – and what still needs work.,Rebecca Geldard,"June 27, 2024"
GLOBAL COOPERATION,Why a centrist approach can restore global cooperation,Centrist geopolitics and practical partnerships can rebuild trust and global cooperation to tackle challenges like climate change and economic instability.,Børge Brende,"June 27, 2024"
ENERGY TRANSITION,Why innovation ecosystems are critical to decarbonization,"Corporations are investing in R&D but challenges remain for start-ups, particularly in hard-to-abate sectors. How can we nurture an innovation ecosystem?",Olivier M. Schwab,"June 27, 2024"
GLOBAL COOPERATION,Global South and global growth: Here's what leaders are saying,"At the World Economic Forum's Annual Meeting of the New Champions, leaders from the Global South discuss their unique challenges and opportunities.",Pooja Chhabria,"June 27, 2024"
ECONOMIC GROWTH,Where is China’s economy headed?,The future of economic growth in China was a major topic of discussion at the Annual Meeting of the New Champions. Here's what the experts had to say.,Spencer Feingold,"June 27, 2024"
FORUM INSTITUTIONAL,AMNC 2024: What to know about Day 3,"The Annual Meeting of the New Champions (AMNC 2024) takes place in Dalian, People's Republic of China, from 25-27 June 2024. Here's everything to know about Day 3.",Gayle Markovitz,"June 27, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Investing in African health tech can transform health systems. Here's how,African-led health tech has improved the lives of millions of patients. But systemic change in global health procurement is needed to support local innovations.,Somto Chloe Keluo-Udeke,"June 26, 2024"
GEO-ECONOMICS AND POLITICS,"Economic fragmentation is rising as global tensions intensify, experts say",How how geopolitical conflicts and tensions are fuelling economic fragmentation and protectionism around the world.,Spencer Feingold,"June 26, 2024"
EMERGING TECHNOLOGIES,How XR can amplify the impact of purpose-driven initiatives,Extended reality (XR) is transforming various sectors while addressing global issues. The Global Collaboration Village in 2024 showcased three examples.,Iris Vimbai Jumbe,"June 26, 2024"
ECONOMIC GROWTH,3 principles to help impact investing achieve a sustainable and inclusive future,"Impact investing, through inclusive innovation, capacity-building and sustainability, can transform economies and foster a sustainable, inclusive future.",Jake Yu,"June 26, 2024"
EMERGING TECHNOLOGIES,"How data standards, ethical AI and diaspora are key to ASEAN's digital economy","ASEAN can harness ethical AI, data governance and diaspora engagement to drive its digital economy – along with innovation, growth and regional integration.",Nii Simmonds and Mario Masaya,"June 26, 2024"
BUSINESS,China's AI revolution: How mid-sized businesses are scaling impact,Three CEOs from the World Economic Forum's New Champions community of mid-sized businesses in China explain how they use AI to scale their impact.,Julia Devos and Srivani Kanthi Chatti,"June 26, 2024"
SUSTAINABLE DEVELOPMENT,4 mid-sized business leaders on innovating for a sustainable future,New technologies can help small and mid-sized businesses become more sustainable. Four such business leaders explain how they do it.,Julia Devos and Srivani Kanthi Chatti,"June 26, 2024"
NATURE AND BIODIVERSITY,How nature positive start-ups are helping China build a carbon neutral economy,"As it moves toward being carbon neutral, purpose-driven innovators and their start-ups can play an important role in driving China’s nature-related targets.",Yangjie (JoJo) Zheng and John Dutton,"June 26, 2024"
CLIMATE ACTION,"Dangerous heat levels could put Paris Olympics athletes at risk, and other nature and climate stories you need to read this week","Other top nature and climate news: Air pollution killed 700,000 children under five in a year; shift in companies saying they have a climate transition plan.",Michael Purton,"June 26, 2024"
ECONOMIC GROWTH,Why cooperation is essential to build ‘intelligent economies’,Harnessing the power of innovation to fuel intelligent economies is necessary to avoid the decade becoming the 'Tepid Twenties'.,Mirek Dušek,"June 26, 2024"
MANUFACTURING AND VALUE CHAINS,How the industrial sector is turning net zero goals into practice,The industrial sector and its value chains contribute close to 30% of global greenhouse gas emissions. That's why it's key to the net zero transition.,Na Na and Xiaoming Zhong,"June 26, 2024"
FORUM INSTITUTIONAL,Address by China Premier Li Qiang to the Annual Meeting of New Champions 2024,"This is the full transcript of the speech given by China Premier Li Qiang at the Annual Meeting of New Champions 2024, in Dalian, China.",World Economic Forum,"June 26, 2024"
CLIMATE ACTION,The building sector is key to the fight against climate change,The building sector value chain is responsible for 37% of total carbon emissions. We cannot ignore it as we seek to counter climate change and cut emissions.,Gim Huay Neo and Yvonne Zhou,"June 26, 2024"
NATURE AND BIODIVERSITY,The world has a water pollution problem. Here’s how innovation can help solve it,The UpLink Aquapreneur challenge is sourcing high-potential solutions to prevent global water pollution and reduce its environmental impacts.,Tania Strauss and Sundararajan Mahalingam,"June 26, 2024"
FORUM INSTITUTIONAL,AMNC 2024: What to know about Day 2,"The Annual Meeting of the New Champions (AMNC) takes place in Dalian, People's Republic of China, from 25-27 June 2024. Here's what you need to know about Day 2.",Gayle Markovitz,"June 26, 2024"
INDUSTRIES IN DEPTH,How these 5 steel producers are taking action to decarbonize steel production,"Amid rising steel demand and growing environmental concerns, pioneering steel producers are paving the way for near-zero emissions steel.",Mandy Chan and Daniel Boero Vargas,"June 25, 2024"
HEALTH AND HEALTHCARE SYSTEMS,The multiplier effect of investing in health,"Since the turn of the century, there have been huge healthcare advances in Central Asia. Continuing this trajectory is both a moral imperative and an economic opportunity.",Hans Kluge,"June 25, 2024"
TRADE AND INVESTMENT,Why strong regional value chains will be vital to the next chapter of China and Africa’s economic relationship,China has been Africa’s largest trading partner and creditor in recent years but China-Africa economic relations are shifting as the global economy slows.,Chido Munyati,"June 25, 2024"
SOCIAL INNOVATION,"Small business, big impact: The transformative power of women-led enterprises","There are more women than ever in business, but most have only three-quarters of the legal rights that men have when it comes to career, finances and work-life balance.",Sarah Hewitt,"June 25, 2024"
ECONOMIC GROWTH,Enhancing resilience to safeguard China's economic transformation in a challenging world,Enhancing disaster resilience to natural catastrophes and fostering financial inclusion will be vital for China to meet its economic transformation goals.,Lubomir Varbanov and Xin Dai,"June 25, 2024"
HEALTH AND HEALTHCARE SYSTEMS,3 smart and green innovations making China's healthcare system more sustainable,Artificial intelligence (AI) and other technologies can help China's healthcare system care for more patients – in an environmentally sustainable way.,Ling Liu,"June 25, 2024"
ENERGY TRANSITION,4 ways policymakers can bridge the battery industry's cooperation gap,"Cooperation between the battery and critical mineral industries is fundamental to the global energy transition. Here, industry insiders share how to identify opportunities for cooperation.",Inga Petersen,"June 25, 2024"
FORUM INSTITUTIONAL,Address by Viet Nam Prime Minister Pham Minh Chinh to the Annual Meeting of New Champions,"This is the full transcript of the speech given by Viet Nam Prime Minister Pham Minh Chinh at the Annual Meeting of New Champions 2024, in Dalian, China.",World Economic Forum,"June 25, 2024"
GLOBAL COOPERATION,"In pictures: Leaders talk global economy, China, climate, AI and more at AMNC24","Public and private sector leaders are gathering in Dalian, China, to discuss the major issues of the day at the Annual Meeting of the New Champions. Here are the latest photos.",Spencer Feingold,"June 25, 2024"
BUSINESS,Decentralized but not fragmented: A new way to think about operations,Future-ready organizations need to seek out more progressive operational models need to shift towards more decentralized and technology-driven operations.,Obaid Bokisha and Saeed Al Zarooni,"June 25, 2024"
JOBS AND THE FUTURE OF WORK,3 things CEOs must prepare to unlock the power of generative AI,The 3 strategic moves CEOs must focus on are: foster ecosystem collaboration; strategize technology investment; and build up generative AI talent.,Patrick Tsang,"June 25, 2024"
EMERGING TECHNOLOGIES,How the Top 10 Emerging Technologies of 2024 will impact the world,The Forum’s pick of the Top 10 Emerging Technologies of 2024 range from microbial carbon capture to high altitude platform station systems. Here’s what you need to know.,Sebastian Buckup and Stephan Kuster,"June 25, 2024"
CLIMATE ACTION,The 3 key challenges to financing the climate transition — and what to do about them,The climate transition requires investment of $125 trillion by 2050. That's a vast sum of money — but it is achievable if we overcome these 3 key hurdles.,Manuela Stefania Fulga and Wang Yao,"June 25, 2024"
FORUM INSTITUTIONAL,AMNC 2024: What to know about Day 1,"The Annual Meeting of the New Champions takes place in Dalian, People's Republic of China, from 25-27 June 2024. Here's everything to know about Day 1.",Gayle Markovitz,"June 25, 2024"
ENERGY TRANSITION,How can offshore wind be a nature-positive climate solution?,China's offshore wind industry has made a lot of effort to reduce the industry's negative impacts on nature and to promote systemic change.,Xi Xie and Qin Haiyan,"June 24, 2024"
"EQUITY, DIVERSITY AND INCLUSION",Gender equality: How many women hold cabinet positions in 2024?,The latest Global Gender Gap Report shows limited gains towards gender parity when it comes to women in cabinet positions. So what more can be done?,"Ionica Berevoescu, Julie Ballington and Lana Ačkar","June 24, 2024"
FOURTH INDUSTRIAL REVOLUTION,How governments can attract innovative manufacturing industries and promote 4IR technologies like AI,"With the right support and knowledge exchange systems, strong AI governance can help growing industries to be inclusive and green – as well as innovative.",M.B. Patil and Alok Medikepura Anil,"June 24, 2024"
ECONOMIC GROWTH,Why Asia’s time is now: what's fueling Asian growth and what does it mean for the rest of the world?,Recent Asian growth due to significant GDP boosts in many of its countries could continue as the continent becomes a hub for tech innovation and trade.,Neeraj Aggarwal and Aparna Bharadwaj,"June 24, 2024"
ENERGY TRANSITION,How decarbonizing the renewable value chain supports multiple SDGs,"Renewable energy installed capacity will account for 60% of the entire power sector, highlighting the need for emission reduction across the value chain.",Carol Zhou and Yiran He,"June 24, 2024"
ECONOMIC GROWTH,Tech and investment are fueling a surge in the China-GCC economic bond,The China-GCC economic bond is scaling new heights as the Middle East becomes increasingly important to global trade. Here's how investors can capitalize.,Duncan Zheng,"June 24, 2024"
CLIMATE ACTION,From lab to market: How to support the next generation of climate technologies,CarbonX is an initiative to identify and nurture new climate technologies and critical capabilities that will be needed in the quest to reach net zero.,Xu Hao,"June 24, 2024"
INDUSTRIES IN DEPTH,How we can best empower the future of business in APAC with GenAI,"As GenAI evolves, its impact will grow, offering endless possibilities for a brighter, more prosperous future for all sectors, with APAC leading the way.",John Lombard,"June 24, 2024"
ENERGY TRANSITION,3 steps the aluminium industry can take to accelerate the path to net zero,"As the aluminium industry targets net zero by 2050 with low-carbon power, advanced tech and recycling, $1 trillion in investment is needed.",Charles Pacini and Jason Martins,"June 24, 2024"
ENERGY TRANSITION,Investing in innovation will secure vital critical minerals for the energy transition – here's where to start,"Critical minerals are fuelling the energy transition. The industry must innovate to help make these materials more available, sustainable and affordable.",Michel Van Hoey and Jörgen Sandström,"June 24, 2024"
BUSINESS,Crucial business lessons all company leaders can learn from Chinese management philosophy,"Business leaders should think about using Chinese management philosophy ideas around agility, continuous learning, collective strength and resilience.",Chun WU and Ruan Fang,"June 24, 2024"
GEOGRAPHIES IN DEPTH,Abu Dhabi is embracing dynamic population data. Here’s why,"The way Abu Dhabi collects population data is changing. Moving away from the clunky census, the new approach is good for the government and for business.",H.E. Ahmed Tamim Al Kuttab,"June 24, 2024"
ENERGY TRANSITION,AI-powered digital twins are about to change the face of industrial ecosystems,"Digital twins are an emerging technology that could fundamentally alter how industrial ecosystems manage data, improve productivity and cut energy usage.","Jörgen Sandström, Thomas Kiessling and Rob McGreevy","June 24, 2024"
CLIMATE ACTION,Climate change is affecting people’s health – here’s how the private sector can help,The public sector is already working to tackle the impact of climate change on health but private sector resources and expertise could also drive progress.,Eunice Chan and Annika Green,"June 24, 2024"
ECONOMIC GROWTH,"Innovation, sustainability and new forces for progress: taking stock from Hong Kong","Developments driven by a combination of innovation and sustainability point the way to sustainable, long-term global growth.",Bonnie Chan Yiting,"June 24, 2024"
NATURE AND BIODIVERSITY,"AMNC24: What to know about climate, nature and energy","Connecting climate, nature and energy is one of the key themes at the World Economic Forum's Annual Meeting of the New Champions (AMNC24), from 25-27 June in China.",Spencer Feingold,"June 24, 2024"
ECONOMIC GROWTH,AMNC24: what to know about the new global economy,"Leaders are gathering in Dalian, China, for the Annual Meeting of the New Champions (AMNC24) from 25-27 June. A New Global Economy is one of the six core themes.",Gayle Markovitz,"June 24, 2024"
GEO-ECONOMICS AND POLITICS,AMNC24: What you need to know about China and the world,The World Economic Forum's Annual Meeting of the New Champions (AMNC24) takes place from 25-27 June in China. 'China and the World' is one of the 6 core themes.,Spencer Feingold,"June 24, 2024"
JOBS AND THE FUTURE OF WORK,AMNC24: What you need to know about investing in people,"Investing in People is one of six core pillars of the World Economic Forum's Annual Meeting of the New Champions (AMNC24), from 25 to 27 June in Dalian, China.",Gayle Markovitz,"June 24, 2024"
INDUSTRIES IN DEPTH,AMNC24: What you need to know about industry transformation,New Frontiers for Industries is one of the six core themes at the World Economic Forum's Annual Meeting of the New Champions (AMNC24) from 25-27 June in China.,Pooja Chhabria,"June 23, 2024"
FOURTH INDUSTRIAL REVOLUTION,AMNC24: What you need to know about AI & entrepreneurship,Entrepreneurship in the Age of AI is one of the core themes at the World Economic Forum's Annual Meeting of the New Champions (AMNC24) from 25-27 June in China.,Pooja Chhabria,"June 23, 2024"
LEADERSHIP,"4 out-of-this-world teamwork tips, from former astronaut Soichi Noguchi","Astronauts train in extreme conditions on Earth to prepare for challenges in space. Here's what these experiences can teach any team, according to JAXA engineer and former astronaut Soichi Noguchi.",Gareth Francis,"June 21, 2024"
TRADE AND INVESTMENT,New report details global trade challenges - and other international trade stories to read this month,"Emerging economies' share of world trade has doubled over the past 60 years, India sees an export boom, and Singapore offers carbon tax breaks to heavy emitters.",Khalid Alaamer,"June 21, 2024"
ECONOMIC GROWTH,China's economic growth story recapped,"The country's decades of dizzying economic expansion have set some pretty high expectations, and ramped up global competition.",John Letzing,"June 21, 2024"
N/A,"Apollo Hospitals: Leveraging AI, and other technologies, to increase access to healthcare",How can developing economies improve their population’s access to healthcare through collaboration and innovation?,Preetha Reddy,"June 21, 2024"
FINANCIAL AND MONETARY SYSTEMS,"Bank of England holds interest rates steady, and other economics stories to read this week","Top economy stories: Bank of England keeps interest rates at 5.25%; US budget deficit expected to rise; Swiss central bank lowers rates, and more.",Joe Myers,"June 21, 2024"
EMERGING TECHNOLOGIES,"Immersive technology, blockchain and AI are converging — and reshaping our world","The technology trio of spatial computing, blockchain and AI are converging to reshape how we interact with the digital world —and each other. Here's how.",David Treat and Michael Klein,"June 21, 2024"
GLOBAL COOPERATION,Children are at climate change's sharp edge — we must do more to protect them,Children bear too much of the climate burden. They pay disproportionately for the decisions of previous generations and they must be protected. Here's how.,Blair Palmer,"June 21, 2024"
FINANCIAL AND MONETARY SYSTEMS,How the commercial banking sector can fuel a nature-positive future,The banking sector plays a crucial role in creating a nature-positive future but faces challenges of inadequate global consensus and insufficient funding.,Gu Shu,"June 21, 2024"
